	target	TO_8_S8	TO_4_S4	TO_3_S3	TO_7_S7	TO_2_S2	TO_6_S6	TO_5_S5	TO_1_S1	TO_9_S9
SPAG17_+_118727757.23-P1P2|SPAG17_-_118727597.23-P1P2++SPAG17_+_118727757.23-P1P2|SPAG17_-_118727597.23-P1P2	SPAG17	10	24	166	16	656	24	32	210	10
LCE1E_+_152758771.23-P1P2|LCE1E_+_152758791.23-P1P2++LCE1E_+_152758771.23-P1P2|LCE1E_+_152758791.23-P1P2	LCE1E	1548	944	386	1276	2100	710	1072	628	668
CHP2_+_23766392.23-P1P2|CHP2_+_23766353.23-P1P2++CHP2_+_23766392.23-P1P2|CHP2_+_23766353.23-P1P2	CHP2	2726	2450	826	2086	3032	1408	2060	910	1538
RFWD2_-_176175915.23-P1P2|RFWD2_-_176175764.23-P1P2++RFWD2_-_176175915.23-P1P2|RFWD2_-_176175764.23-P1P2	RFWD2	234	314	148	252	762	186	258	294	182
TADA2A_-_35767029.23-P1P2|TADA2A_-_35766991.23-P1P2++TADA2A_-_35767029.23-P1P2|TADA2A_-_35766991.23-P1P2	TADA2A	212	134	336	158	1034	122	164	322	102
VSIG10_+_118541811.23-P1P2|VSIG10_-_118541586.23-P1P2++VSIG10_+_118541811.23-P1P2|VSIG10_-_118541586.23-P1P2	VSIG10	1398	1202	430	1132	2024	964	920	718	708
TAS2R41_-_143175080.23-ENST00000408916.1|TAS2R41_+_143175091.23-ENST00000408916.1++TAS2R41_-_143175080.23-ENST00000408916.1|TAS2R41_+_143175091.23-ENST00000408916.1	TAS2R41	836	728	340	770	1002	540	710	456	500
C5orf60_+_179071944.23-P1P2|C5orf60_+_179071957.23-P1P2++C5orf60_+_179071944.23-P1P2|C5orf60_+_179071957.23-P1P2	C5orf60	324	328	176	398	604	268	416	246	342
LDLRAD4_-_13218807.23-P1P2|LDLRAD4_-_13218814.23-P1P2++LDLRAD4_-_13218807.23-P1P2|LDLRAD4_-_13218814.23-P1P2	LDLRAD4	682	528	260	704	1400	428	512	488	374
SFRP1_-_41166936.23-P1P2|SFRP1_-_41166946.23-P1P2++SFRP1_-_41166936.23-P1P2|SFRP1_-_41166946.23-P1P2	SFRP1	2246	2026	898	2360	3634	1556	1570	1040	1370
VCPKMT_+_50583228.23-P1P2|VCPKMT_+_50583242.23-P1P2++VCPKMT_+_50583228.23-P1P2|VCPKMT_+_50583242.23-P1P2	VCPKMT	1050	638	442	1006	1706	730	702	568	594
OR2A2_-_143806682.23-ENST00000408979.2|OR2A2_+_143806634.23-ENST00000408979.2++OR2A2_-_143806682.23-ENST00000408979.2|OR2A2_+_143806634.23-ENST00000408979.2	OR2A2	1208	1140	432	1408	1806	856	916	578	768
ZMPSTE24_-_40723955.23-P1P2|ZMPSTE24_-_40723930.23-P1P2++ZMPSTE24_-_40723955.23-P1P2|ZMPSTE24_-_40723930.23-P1P2	ZMPSTE24	1942	1164	574	1760	2298	1254	990	848	1118
SLC16A3_-_80186928.23-P1P2|SLC16A3_+_80186992.23-P1P2++SLC16A3_-_80186928.23-P1P2|SLC16A3_+_80186992.23-P1P2	SLC16A3	4488	3564	1758	4524	7668	2866	3406	2450	2762
FAM86C1_-_71498711.23-P1P2|FAM86C1_-_71498983.23-P1P2++FAM86C1_-_71498711.23-P1P2|FAM86C1_-_71498983.23-P1P2	FAM86C1	1136	856	350	850	1692	818	802	612	664
NDRG1_-_134309513.23-P1P2|NDRG1_+_134309564.23-P1P2++NDRG1_-_134309513.23-P1P2|NDRG1_+_134309564.23-P1P2	NDRG1	1082	828	358	976	1516	788	604	570	666
CCL8_-_32646459.23-P1P2|CCL8_+_32646511.23-P1P2++CCL8_-_32646459.23-P1P2|CCL8_+_32646511.23-P1P2	CCL8	1510	1148	576	1468	2496	1036	970	878	850
SLC34A2_-_25657530.23-P1P2|SLC34A2_+_25657441.23-P1P2++SLC34A2_-_25657530.23-P1P2|SLC34A2_+_25657441.23-P1P2	SLC34A2	896	822	402	688	1600	516	838	462	466
C17orf89_-_79213146.23-P1P2|C17orf89_-_79213132.23-P1P2++C17orf89_-_79213146.23-P1P2|C17orf89_-_79213132.23-P1P2	C17orf89	2496	1960	764	1734	3228	1630	1800	896	1224
non-targeting_03393|non-targeting_03474++non-targeting_03393|non-targeting_03474	non-targeting	1430	1062	540	1426	1828	922	974	748	854
PAK1_-_77184580.23-ENST00000356341.3|PAK1_+_77184730.23-ENST00000356341.3++PAK1_-_77184580.23-ENST00000356341.3|PAK1_+_77184730.23-ENST00000356341.3	PAK1	42	64	444	76	1808	56	58	560	18
TP53RK_+_45318049.23-P1P2|TP53RK_+_45317813.23-P1P2++TP53RK_+_45318049.23-P1P2|TP53RK_+_45317813.23-P1P2	TP53RK	6	30	396	16	1450	34	16	550	8
SPDYA_-_29005381.23-P2|SPDYA_-_29005378.23-P2++SPDYA_-_29005381.23-P2|SPDYA_-_29005378.23-P2	SPDYA	1594	1168	550	1158	2246	968	1132	774	794
SLC38A11_-_165811952.23-P1P2|SLC38A11_-_165811946.23-P1P2++SLC38A11_-_165811952.23-P1P2|SLC38A11_-_165811946.23-P1P2	SLC38A11	710	640	248	478	818	354	388	234	478
TGOLN2_-_85555068.23-P1P2|TGOLN2_+_85555103.23-P1P2++TGOLN2_-_85555068.23-P1P2|TGOLN2_+_85555103.23-P1P2	TGOLN2	898	662	694	796	2366	616	726	888	520
ARHGEF1_-_42388477.23-P2|ARHGEF1_-_42388487.23-P2++ARHGEF1_-_42388477.23-P2|ARHGEF1_-_42388487.23-P2	ARHGEF1	4410	3940	1684	4118	7130	2684	3302	2412	2740
ARF5_-_127229626.23-P2|ARF5_-_127229665.23-P2++ARF5_-_127229626.23-P2|ARF5_-_127229665.23-P2	ARF5	1074	912	480	1042	2058	794	744	638	612
ZGPAT_+_62339092.23-P1P2|ZGPAT_+_62338873.23-P1P2++ZGPAT_+_62339092.23-P1P2|ZGPAT_+_62338873.23-P1P2	ZGPAT	1598	1266	1846	1796	7278	1252	1282	2702	918
non-targeting_02297|non-targeting_01410++non-targeting_02297|non-targeting_01410	non-targeting	856	786	330	802	1356	746	790	554	482
TDGF1_-_46619550.23-P1P2|TDGF1_-_46619494.23-P1P2++TDGF1_-_46619550.23-P1P2|TDGF1_-_46619494.23-P1P2	TDGF1	1274	1104	438	1050	1652	690	836	426	766
ZMYM1_+_35545183.23-P1P2|ZMYM1_+_35545051.23-P1P2++ZMYM1_+_35545183.23-P1P2|ZMYM1_+_35545051.23-P1P2	ZMYM1	1102	798	284	678	1224	486	612	392	440
non-targeting_03080|non-targeting_01844++non-targeting_03080|non-targeting_01844	non-targeting	934	680	330	764	1640	576	650	624	676
PLXNA4_+_132261712.23-P1P2|PLXNA4_+_132262019.23-P1P2++PLXNA4_+_132261712.23-P1P2|PLXNA4_+_132262019.23-P1P2	PLXNA4	64	50	372	68	1850	48	40	618	46
TLR8_+_12924753.23-P1P2|TLR8_-_12924799.23-P1P2++TLR8_+_12924753.23-P1P2|TLR8_-_12924799.23-P1P2	TLR8	780	524	188	640	910	460	554	260	346
RNMT_-_13726752.23-P1P2|RNMT_+_13726813.23-P1P2++RNMT_-_13726752.23-P1P2|RNMT_+_13726813.23-P1P2	RNMT	124	128	520	156	2088	236	146	670	118
SNPH_-_1247002.23-P1P2|SNPH_-_1247013.23-P1P2++SNPH_-_1247002.23-P1P2|SNPH_-_1247013.23-P1P2	SNPH	1614	1192	422	1504	2180	1020	932	866	794
CDKN2AIP_+_184366219.23-P1P2|CDKN2AIP_-_184365844.23-P1P2++CDKN2AIP_+_184366219.23-P1P2|CDKN2AIP_-_184365844.23-P1P2	CDKN2AIP	1320	790	516	890	2322	796	726	750	404
AHNAK2_+_105444688.23-P2|AHNAK2_-_105444648.23-P2++AHNAK2_+_105444688.23-P2|AHNAK2_-_105444648.23-P2	AHNAK2	5848	4636	1724	5752	8260	4030	4434	2806	3626
SALL2_-_21994375.23-P1P2|SALL2_-_21994394.23-P1P2++SALL2_-_21994375.23-P1P2|SALL2_-_21994394.23-P1P2	SALL2	2450	1690	732	2342	3186	1434	1674	888	1358
TMCO5A_-_38226895.23-P1P2|TMCO5A_-_38226868.23-P1P2++TMCO5A_-_38226895.23-P1P2|TMCO5A_-_38226868.23-P1P2	TMCO5A	678	600	294	804	1098	550	708	372	566
MSH5_+_31707820.23-P1P2|MSH5_+_31707824.23-P1P2++MSH5_+_31707820.23-P1P2|MSH5_+_31707824.23-P1P2	MSH5	1708	1368	514	1494	1984	898	984	640	780
TMEM187_+_153238353.23-P1P2|TMEM187_+_153238246.23-P1P2++TMEM187_+_153238353.23-P1P2|TMEM187_+_153238246.23-P1P2	TMEM187	1754	1650	704	1696	2910	1388	1438	1088	1188
R3HCC1_-_23145643.23-P1|R3HCC1_-_23145664.23-P1++R3HCC1_-_23145643.23-P1|R3HCC1_-_23145664.23-P1	R3HCC1	3972	2958	1708	3038	8094	2268	2968	2628	2380
SRMS_+_62179075.23-P1P2|SRMS_+_62179081.23-P1P2++SRMS_+_62179075.23-P1P2|SRMS_+_62179081.23-P1P2	SRMS	1232	1026	458	1324	1966	920	962	718	776
DEPDC4_+_100660814.23-P1P2|DEPDC4_-_100660794.23-P1P2++DEPDC4_+_100660814.23-P1P2|DEPDC4_-_100660794.23-P1P2	DEPDC4	1010	760	332	832	1466	644	568	514	642
PSMD6_-_64009133.23-P1P2|PSMD6_-_64009114.23-P1P2++PSMD6_-_64009133.23-P1P2|PSMD6_-_64009114.23-P1P2	PSMD6	32	42	110	22	480	24	20	138	24
non-targeting_01059|non-targeting_01988++non-targeting_01059|non-targeting_01988	non-targeting	1694	1544	754	1882	2412	1114	1276	856	1066
ATP1A1_-_116915944.23-P1P2|ATP1A1_-_116915929.23-P1P2++ATP1A1_-_116915944.23-P1P2|ATP1A1_-_116915929.23-P1P2	ATP1A1	30	24	640	42	3460	36	48	942	24
ITM2B_-_48807807.23-P1P2|ITM2B_-_48807419.23-P1P2++ITM2B_-_48807807.23-P1P2|ITM2B_-_48807419.23-P1P2	ITM2B	1288	1008	420	1140	1630	854	914	652	890
non-targeting_03216|non-targeting_03157++non-targeting_03216|non-targeting_03157	non-targeting	1346	1002	526	1472	2150	936	1434	662	980
SHQ1_+_72897533.23-P1P2|SHQ1_+_72897517.23-P1P2++SHQ1_+_72897533.23-P1P2|SHQ1_+_72897517.23-P1P2	SHQ1	838	640	592	1010	2060	664	608	792	556
ADPRM_-_10600988.23-P1P2|ADPRM_+_10600958.23-P1P2++ADPRM_-_10600988.23-P1P2|ADPRM_+_10600958.23-P1P2	ADPRM	5038	4206	1882	4352	7484	3722	3722	2390	2730
LRRTM1_+_80531824.23-P1P2|LRRTM1_-_80531783.23-P1P2++LRRTM1_+_80531824.23-P1P2|LRRTM1_-_80531783.23-P1P2	LRRTM1	1422	1408	616	1760	3000	1126	1398	860	1006
ATP11C_-_138914319.23-ENST00000361648.2|ATP11C_-_138914167.23-ENST00000361648.2++ATP11C_-_138914319.23-ENST00000361648.2|ATP11C_-_138914167.23-ENST00000361648.2	ATP11C	652	524	226	546	654	326	458	278	324
HUS1_+_48019118.23-P1P2|HUS1_+_48019133.23-P1P2++HUS1_+_48019118.23-P1P2|HUS1_+_48019133.23-P1P2	HUS1	534	672	802	624	2766	374	448	960	360
C8orf4_+_40011076.23-P1P2|C8orf4_+_40011017.23-P1P2++C8orf4_+_40011076.23-P1P2|C8orf4_+_40011017.23-P1P2	C8orf4	1508	1422	508	1482	2202	868	1086	854	1054
SPP1_-_88896899.23-P1|SPP1_+_88896943.23-P1++SPP1_-_88896899.23-P1|SPP1_+_88896943.23-P1	SPP1	1496	1096	440	1112	2112	986	1020	784	834
CYP4A11_+_47407055.23-P1P2|CYP4A11_-_47407048.23-P1P2++CYP4A11_+_47407055.23-P1P2|CYP4A11_-_47407048.23-P1P2	CYP4A11	1254	928	506	1238	2120	784	810	568	692
ZNF131_+_43121840.23-P1P2|ZNF131_-_43121745.23-P1P2++ZNF131_+_43121840.23-P1P2|ZNF131_-_43121745.23-P1P2	ZNF131	6	12	134	38	770	12	42	260	8
MAMSTR_+_49222919.23-P2|MAMSTR_-_49222925.23-P2++MAMSTR_+_49222919.23-P2|MAMSTR_-_49222925.23-P2	MAMSTR	1248	958	414	1224	1784	916	790	574	626
MRPL34_-_17416686.23-P1P2|MRPL34_+_17416659.23-P1P2++MRPL34_-_17416686.23-P1P2|MRPL34_+_17416659.23-P1P2	MRPL34	18	2	48	8	242	16	16	70	0
REPS1_+_139309337.23-P1P2|REPS1_+_139309379.23-P1P2++REPS1_+_139309337.23-P1P2|REPS1_+_139309379.23-P1P2	REPS1	1662	1436	556	1440	2436	942	1018	708	1186
CIB2_-_78423718.23-P1P2|CIB2_-_78423715.23-P1P2++CIB2_-_78423718.23-P1P2|CIB2_-_78423715.23-P1P2	CIB2	5640	4566	1760	4920	7262	3514	4022	2474	3234
SEMA3B_-_50310974.23-P1|SEMA3B_-_50306705.23-P1++SEMA3B_-_50310974.23-P1|SEMA3B_-_50306705.23-P1	SEMA3B	1696	1030	466	1502	2454	1086	1310	752	952
SLC48A1_+_48152829.23-P2|SLC48A1_-_48152826.23-P2++SLC48A1_+_48152829.23-P2|SLC48A1_-_48152826.23-P2	SLC48A1	1058	668	358	1122	1548	692	906	530	560
NBPF1_+_16940071.23-P1P2|NBPF1_-_16940088.23-P1P2++NBPF1_+_16940071.23-P1P2|NBPF1_-_16940088.23-P1P2	NBPF1	350	496	158	384	884	370	510	218	402
MTFMT_+_65321944.23-P1P2|MTFMT_+_65321938.23-P1P2++MTFMT_+_65321944.23-P1P2|MTFMT_+_65321938.23-P1P2	MTFMT	1018	1432	600	1512	3268	1118	1126	1084	982
FARS2_+_5261818.23-P1P2|FARS2_-_5261304.23-P1P2++FARS2_+_5261818.23-P1P2|FARS2_-_5261304.23-P1P2	FARS2	278	156	272	198	1110	178	194	350	166
ARRDC2_-_18119049.23-P1|ARRDC2_+_18118989.23-P1++ARRDC2_-_18119049.23-P1|ARRDC2_+_18118989.23-P1	ARRDC2	1244	972	438	1206	1946	972	1038	692	828
CCDC14_-_123680052.23-P1P2|CCDC14_+_123680011.23-P1P2++CCDC14_-_123680052.23-P1P2|CCDC14_+_123680011.23-P1P2	CCDC14	970	786	456	1076	2160	698	678	716	650
HS3ST5_+_114664129.23-P1P2|HS3ST5_+_114663962.23-P1P2++HS3ST5_+_114664129.23-P1P2|HS3ST5_+_114663962.23-P1P2	HS3ST5	1678	1272	434	1612	2530	1222	1168	738	846
RUFY2_-_70166927.23-P1P2|RUFY2_-_70166840.23-P1P2++RUFY2_-_70166927.23-P1P2|RUFY2_-_70166840.23-P1P2	RUFY2	1190	824	326	1186	1622	832	796	568	768
CDC40_+_110501678.23-P1P2|CDC40_-_110501684.23-P1P2++CDC40_+_110501678.23-P1P2|CDC40_-_110501684.23-P1P2	CDC40	30	8	140	12	532	16	36	144	24
SUSD1_-_114937587.23-P1P2|SUSD1_-_114937595.23-P1P2++SUSD1_-_114937587.23-P1P2|SUSD1_-_114937595.23-P1P2	SUSD1	2032	1950	906	2044	3372	1518	1740	1208	1224
MAGED1_+_51636971.23-P1|MAGED1_+_51636778.23-P1++MAGED1_+_51636971.23-P1|MAGED1_+_51636778.23-P1	MAGED1	996	960	436	1074	1712	802	956	636	552
non-targeting_00166|non-targeting_02207++non-targeting_00166|non-targeting_02207	non-targeting	1228	912	512	1298	1732	894	1000	614	666
DDHD1_+_53619624.23-P1P2|DDHD1_+_53619873.23-P1P2++DDHD1_+_53619624.23-P1P2|DDHD1_+_53619873.23-P1P2	DDHD1	138	212	256	226	1198	190	226	492	132
ZNF337_-_25677436.23-P1P2|ZNF337_+_25677430.23-P1P2++ZNF337_-_25677436.23-P1P2|ZNF337_+_25677430.23-P1P2	ZNF337	1566	1296	548	1320	1970	834	996	822	836
YOD1_+_207224154.23-P1P2|YOD1_+_207224313.23-P1P2++YOD1_+_207224154.23-P1P2|YOD1_+_207224313.23-P1P2	YOD1	1148	1166	504	1404	2032	816	976	892	674
ZNF746_-_149194933.23-P1P2|ZNF746_+_149194747.23-P1P2++ZNF746_-_149194933.23-P1P2|ZNF746_+_149194747.23-P1P2	ZNF746	1524	1132	620	1584	2894	1234	1128	1136	914
non-targeting_01298|non-targeting_02984++non-targeting_01298|non-targeting_02984	non-targeting	460	510	206	544	854	296	400	266	356
TBC1D15_-_72233731.23-P1P2|TBC1D15_-_72233567.23-P1P2++TBC1D15_-_72233731.23-P1P2|TBC1D15_-_72233567.23-P1P2	TBC1D15	1226	862	382	940	1338	692	892	642	622
HIST1H2AG_-_27100863.23-ENST00000359193.2|HIST1H2AG_+_27100893.23-ENST00000359193.2++HIST1H2AG_-_27100863.23-ENST00000359193.2|HIST1H2AG_+_27100893.23-ENST00000359193.2	HIST1H2AG	1228	986	450	1174	2194	802	928	568	760
SNURF_-_25223795.23-P2|SNURF_-_25223788.23-P2++SNURF_-_25223795.23-P2|SNURF_-_25223788.23-P2	SNURF	680	534	310	664	1230	508	664	532	466
C22orf43_+_23974346.23-P1P2|C22orf43_-_23974394.23-P1P2++C22orf43_+_23974346.23-P1P2|C22orf43_-_23974394.23-P1P2	C22orf43	2002	2060	638	2174	3366	1464	1476	1032	1426
CNTN4_+_2140620.23-P1P2|CNTN4_-_2140674.23-P1P2++CNTN4_+_2140620.23-P1P2|CNTN4_-_2140674.23-P1P2	CNTN4	1822	1474	702	1864	3008	1246	1204	982	1132
non-targeting_00570|non-targeting_02137++non-targeting_00570|non-targeting_02137	non-targeting	1704	1486	620	1658	2870	1186	1296	914	888
TEX2_+_62340610.23-P1P2|TEX2_+_62340544.23-P1P2++TEX2_+_62340610.23-P1P2|TEX2_+_62340544.23-P1P2	TEX2	1760	1182	640	1682	2658	1124	1562	1050	952
OR10Z1_-_158576258.23-ENST00000361284.1|OR10Z1_-_158576254.23-ENST00000361284.1++OR10Z1_-_158576258.23-ENST00000361284.1|OR10Z1_-_158576254.23-ENST00000361284.1	OR10Z1	802	912	364	800	1424	536	772	426	638
EML3_-_62380021.23-P1P2|EML3_+_62380154.23-P1P2++EML3_-_62380021.23-P1P2|EML3_+_62380154.23-P1P2	EML3	804	534	588	906	2704	560	468	730	450
ATP13A1_+_19774468.23-P1P2|ATP13A1_-_19774415.23-P1P2++ATP13A1_+_19774468.23-P1P2|ATP13A1_-_19774415.23-P1P2	ATP13A1	1004	776	358	980	1730	624	576	514	554
WNK1_+_862246.23-P1P2|WNK1_-_861784.23-P1P2++WNK1_+_862246.23-P1P2|WNK1_-_861784.23-P1P2	WNK1	1246	756	452	980	2248	716	668	706	538
TREM1_+_41254378.23-P1P2|TREM1_+_41254372.23-P1P2++TREM1_+_41254378.23-P1P2|TREM1_+_41254372.23-P1P2	TREM1	588	532	208	506	790	442	444	338	392
SPATA31D1_-_84604088.23-P1P2|SPATA31D1_+_84604129.23-P1P2++SPATA31D1_-_84604088.23-P1P2|SPATA31D1_+_84604129.23-P1P2	SPATA31D1	2406	1798	686	2442	3606	1708	1804	1202	1470
CNKSR1_-_26504158.23-P1P2|CNKSR1_-_26504071.23-P1P2++CNKSR1_-_26504158.23-P1P2|CNKSR1_-_26504071.23-P1P2	CNKSR1	26	34	332	28	1198	68	54	482	78
KCNK10_+_88789544.23-P1P2|KCNK10_-_88789505.23-P1P2++KCNK10_+_88789544.23-P1P2|KCNK10_-_88789505.23-P1P2	KCNK10	1634	1630	642	1840	2790	1132	1470	864	1032
SEMA4F_-_74881428.23-P1P2|SEMA4F_+_74881442.23-P1P2++SEMA4F_-_74881428.23-P1P2|SEMA4F_+_74881442.23-P1P2	SEMA4F	2044	1648	744	1820	2966	1112	1612	1022	1252
ZNF559_-_9434970.23-P1P2|ZNF559_-_9435103.23-P1P2++ZNF559_-_9434970.23-P1P2|ZNF559_-_9435103.23-P1P2	ZNF559	234	272	398	288	1736	148	300	726	208
PIK3R6_-_8770944.23-P1P2|PIK3R6_-_8770956.23-P1P2++PIK3R6_-_8770944.23-P1P2|PIK3R6_-_8770956.23-P1P2	PIK3R6	1448	1366	542	1482	2138	988	1108	694	968
HIRA_+_19419212.23-P2|HIRA_+_19419231.23-P2++HIRA_+_19419212.23-P2|HIRA_+_19419231.23-P2	HIRA	1056	1052	1046	1134	3356	926	1122	1056	578
PBXIP1_+_154928458.23-P1P2|PBXIP1_+_154928499.23-P1P2++PBXIP1_+_154928458.23-P1P2|PBXIP1_+_154928499.23-P1P2	PBXIP1	888	758	348	912	1266	654	764	400	468
