,target,rho_score,rho_pvalue,rho_label,-log10(rho_pvalue),gamma_score,gamma_pvalue,gamma_label,-log10(gamma_pvalue)
MED21,MED21,-0.33223205956322666,0.08396723280671478,sensitivity_hit,1.075890159027782,0.3333819587337035,0.05959164744255378,up_hit,1.2248146081090205
MED29,MED29,0.20690220955398667,0.005243153403529926,resistance_hit,2.2804074355664734,-0.21457728513702445,0.04117306816100995,essential_hit,1.3853867687628376
MEI1,MEI1,0.28004592008597423,0.023944833625455526,resistance_hit,1.6207881761948801,-0.19898173749767226,0.05181456261712975,essential_hit,1.2855481635091162
MEIS3,MEIS3,-0.45189114308650397,0.1369617828981174,sensitivity_hit,0.8634005992077046,0.0856194687932111,0.4586315690318508,target_non_hit,0.3385360547424487
MESP1,MESP1,-0.19107041572361716,0.0040876736372975385,sensitivity_hit,2.3885237858622963,0.12614093221577813,0.2700384643828815,target_non_hit,0.5685743703615507
METTL7B,METTL7B,0.17837327863919258,0.02311376975263994,resistance_hit,1.6361292172533093,-0.10333811058590688,0.5323379023156705,target_non_hit,0.27381261107591687
MEX3B,MEX3B,-0.3494447469072159,0.053298580175429135,sensitivity_hit,1.273284360020134,-0.4868879675009466,0.12660398776663484,essential_hit,0.8975526147154311
MFAP2,MFAP2,-0.14131645089183623,0.011894786525561439,sensitivity_hit,1.9246433477925513,-0.0406350496868928,0.728264919159271,target_non_hit,0.13771060969764712
MFHAS1,MFHAS1,0.33267445912713267,0.08950728759626088,resistance_hit,1.0481416034104025,-0.17085962831142787,0.024461982366617705,essential_hit,1.611508351224595
MFSD5,MFSD5,0.247228688332387,0.0035348718721879956,resistance_hit,2.45162632336926,-0.23465822225455954,0.20145617820204026,target_non_hit,0.6958194092489935
MGRN1,MGRN1,0.2990071737648267,0.057662261439216406,resistance_hit,1.2391083291466725,-0.27956589554971306,0.3190527394646414,target_non_hit,0.4961375220672301
MIS18BP1,MIS18BP1,-0.2493724455747636,0.03907955519346136,sensitivity_hit,1.4080503880987256,0.01133868089102504,0.6798719394402786,target_non_hit,0.1675728832232006
MLLT11,MLLT11,0.2654474458945204,0.0046178448074777915,resistance_hit,2.3355606665657813,-0.2741917897312079,0.24917135517047168,target_non_hit,0.6035018857947381
MLPH,MLPH,-0.2969511608752227,0.015198374739954034,sensitivity_hit,1.8182028514768303,0.053397769022601814,0.2849152080874746,target_non_hit,0.5452843685485416
MMP21,MMP21,0.19494123805440733,0.029934408314128382,resistance_hit,1.523829321732382,-0.0652171374675407,0.39110470282913656,target_non_hit,0.40770696185287103
MMS22L,MMS22L,0.24608837167489708,0.004704063522404483,resistance_hit,2.327526822296825,-0.25214850144399864,0.07951254356365547,essential_hit,1.0995643534723205
MN1,MN1,-0.30109333636134245,0.12449369355545783,sensitivity_hit,0.9048526479532619,-0.006935194711972829,0.4214182623061079,target_non_hit,0.3752866480185784
MOB1A,MOB1A,0.1991698060427677,0.034191946254943,resistance_hit,1.4660761778309193,-0.19804586082047373,0.126280103254208,target_non_hit,0.8986650716743845
MOV10L1,MOV10L1,-0.22554790544162243,0.06394495648883892,sensitivity_hit,1.1941937038115127,0.07284487849725618,0.1752298880229259,target_non_hit,0.7563918165675562
MPEG1,MPEG1,0.20544423220960914,0.03998292138966403,resistance_hit,1.3981254769247933,-0.15511300715890494,0.20151438511412081,target_non_hit,0.6956939462836941
MPHOSPH6,MPHOSPH6,0.1504575785517345,0.006426782807988942,resistance_hit,2.1920063767483446,-0.04500207538998602,0.7377636804541297,target_non_hit,0.13208272857059525
MRAP2,MRAP2,0.33735339523823377,0.12711582818569797,resistance_hit,0.8958003686771813,-0.183943256169066,0.3874013020926545,target_non_hit,0.4118389239093591
MRE11A,MRE11A,-0.2582604390643244,0.06451863734324778,sensitivity_hit,1.1903148136413777,0.20905985662599966,0.11135565746488117,target_non_hit,0.9532877135795267
