,target,rho_score,rho_pvalue,rho_label,-log10(rho_pvalue),gamma_score,gamma_pvalue,gamma_label,-log10(gamma_pvalue)
GJA9,GJA9,0.40731842976965166,0.12535620086777363,resistance_hit,0.9018541783707029,-0.20069798676230377,0.34305149647619365,target_non_hit,0.46464068183258367
GJB5,GJB5,-0.2421311548283418,0.03104110977965103,sensitivity_hit,1.50806276026943,0.3020190566244283,0.09999217031783343,up_hit,1.0000340052088672
GLCE,GLCE,-0.33295471132638416,0.1304358505784038,sensitivity_hit,0.8846030254101295,0.10789472901825488,0.3139991387040571,target_non_hit,0.5030715431898052
GLDC,GLDC,-0.21809091297957237,0.028945364405040336,sensitivity_hit,1.5384209785517642,0.13837470698495272,0.019181792579901446,target_non_hit,1.7171108095124965
GLIS3,GLIS3,-0.297214007393167,0.049237824327347225,sensitivity_hit,1.307701145495047,0.6301371849096741,0.01630950721171798,up_hit,1.7875591608766346
GMCL1,GMCL1,0.2874657901036392,0.11331653862793625,resistance_hit,0.9457066999276867,-0.06384348171521055,0.3238388256340338,target_non_hit,0.48967108409474136
GNA14,GNA14,-0.2687643315379476,0.006828112123331938,sensitivity_hit,2.165699356018852,0.21695674589419886,0.07355257087506643,up_hit,1.133402142823031
GNGT2,GNGT2,-0.2700739349523997,0.01708280848550804,sensitivity_hit,1.7674407279391422,-0.3390992933529325,0.06332781759655086,essential_hit,1.1984054783725975
GNL3L,GNL3L,0.2776687240071973,0.037488184851872046,resistance_hit,1.426105587263169,-0.25510182280293847,0.016744194992640443,essential_hit,1.7761357271123546
GNPAT,GNPAT,0.35268579906359615,0.012042318924250759,resistance_hit,1.9192898752846466,-0.2996655961137922,0.007135280871387136,essential_hit,2.1465889267549807
GOLGA3,GOLGA3,0.23765886640555975,0.01989415610546331,resistance_hit,1.701274478558999,-0.061461805993594666,0.5100763956330174,target_non_hit,0.2923647734763013
GOLIM4,GOLIM4,0.1935566854330748,0.005041907308921986,resistance_hit,2.297405142712276,-0.3074018616378608,0.1408926758513862,essential_hit,0.8511115826181264
