	target	i02	i08	i14	i15	i06	i16	i11	i12	i07	i04	i05	i03	i13	i01	i10	i09
CHMP6_-_78965692.23-P1P2|CHMP6_+_78965716.23-P1P2++CHMP6_-_78965692.23-P1P2|CHMP6_+_78965716.23-P1P2	CHMP6	1261	4	1	6	1	2	2	0	6	1	11	0	0	839	1051	1042
MBP_+_74728934.23-P1P2|MBP_-_74728945.23-P1P2++MBP_+_74728934.23-P1P2|MBP_-_74728945.23-P1P2	MBP	2043	2049	1846	1874	2101	1910	2821	3026	2570	3189	2727	3362	7126	1506	1695	1954
FOXQ1_-_1312330.23-P1P2|FOXQ1_+_1312410.23-P1P2++FOXQ1_-_1312330.23-P1P2|FOXQ1_+_1312410.23-P1P2	FOXQ1	3946	5049	3416	3895	5109	3630	4891	5118	5140	6332	7396	6348	9715	2955	2974	3525
DCUN1D4_-_52709349.23-P1P2|DCUN1D4_-_52709757.23-P1P2++DCUN1D4_-_52709349.23-P1P2|DCUN1D4_-_52709757.23-P1P2	DCUN1D4	1594	2231	1596	1854	2830	1774	2203	2665	2801	3255	3062	3209	5154	1547	1323	1622
CDK10_-_89753493.23-P1P2|CDK10_+_89753127.23-P1P2++CDK10_-_89753493.23-P1P2|CDK10_+_89753127.23-P1P2	CDK10	988	254	930	1247	366	798	426	358	218	387	424	467	1170	806	1074	935
MAP3K6_+_27693436.23-P1P2|MAP3K6_+_27693402.23-P1P2++MAP3K6_+_27693436.23-P1P2|MAP3K6_+_27693402.23-P1P2	MAP3K6	1180	1649	935	1079	1468	1125	1670	1756	1229	1841	2074	2009	4784	911	984	774
RBM26_-_79979764.23-P1P2|RBM26_+_79979944.23-P1P2++RBM26_-_79979764.23-P1P2|RBM26_+_79979944.23-P1P2	RBM26	1696	2196	1957	2067	2856	2131	2409	2723	2683	2880	2919	2873	5100	1539	1984	1647
PJA2_+_108745418.23-P1P2|PJA2_+_108745625.23-P1P2++PJA2_+_108745418.23-P1P2|PJA2_+_108745625.23-P1P2	PJA2	1203	994	943	1192	1258	1594	1431	1552	962	1287	1458	1387	3055	806	884	1409
CBLC_+_45281185.23-P1P2|CBLC_+_45281141.23-P1P2++CBLC_+_45281185.23-P1P2|CBLC_+_45281141.23-P1P2	CBLC	1659	1968	1558	1309	2623	1990	2237	2371	2733	2866	2865	3293	3945	1337	1344	1449
TMEM116_-_112450964.23-P1P2|TMEM116_-_112450896.23-P1P2++TMEM116_-_112450964.23-P1P2|TMEM116_-_112450896.23-P1P2	TMEM116	1319	1494	1259	1666	1615	1805	2025	1623	1941	2535	2574	2389	4808	1280	1052	1244
GEM_-_95274507.23-P1|GEM_+_95274528.23-P1++GEM_-_95274507.23-P1|GEM_+_95274528.23-P1	GEM	2429	2209	2032	2546	2794	2106	3094	2651	3715	3981	3896	3812	6697	1653	2168	2148
PLXDC2_-_20105388.23-P1P2|PLXDC2_-_20105584.23-P1P2++PLXDC2_-_20105388.23-P1P2|PLXDC2_-_20105584.23-P1P2	PLXDC2	1061	1150	1083	1135	1512	1203	1386	1419	1697	1567	2048	1572	3275	820	949	1116
ATAD3B_+_1407208.23-P1|ATAD3B_+_1407150.23-P1++ATAD3B_+_1407208.23-P1|ATAD3B_+_1407150.23-P1	ATAD3B	693	1278	939	779	1296	1040	1345	1573	1681	1269	1466	1361	2514	620	705	731
ZNF384_-_6798269.23-P1P2|ZNF384_-_6798375.23-P1P2++ZNF384_-_6798269.23-P1P2|ZNF384_-_6798375.23-P1P2	ZNF384	1539	1903	2249	1439	1958	1493	2644	2522	2778	2552	2444	2701	4940	1397	1067	1368
DUOXA2_-_45406554.23-P1P2|DUOXA2_+_45406683.23-P1P2++DUOXA2_-_45406554.23-P1P2|DUOXA2_+_45406683.23-P1P2	DUOXA2	1090	985	1042	1089	1420	1514	1531	1766	1723	1657	1936	1886	2798	909	832	858
RPL36AL_+_50087292.23-P1P2|RPL36AL_+_50087262.23-P1P2++RPL36AL_+_50087292.23-P1P2|RPL36AL_+_50087262.23-P1P2	RPL36AL	2061	1667	1557	1558	1313	1636	1926	1967	1697	2231	1926	2216	3639	1089	1750	2212
non-targeting_02030|non-targeting_01760++non-targeting_02030|non-targeting_01760	non-targeting	520	532	567	471	821	704	1029	950	1013	699	534	1055	2483	330	459	374
SULT2A1_-_48389575.23-P1P2|SULT2A1_-_48389569.23-P1P2++SULT2A1_-_48389575.23-P1P2|SULT2A1_-_48389569.23-P1P2	SULT2A1	1054	1145	1596	1584	1514	1305	1305	1428	1606	1572	1916	2335	2969	897	1040	1150
MAGIX_-_49020319.23-P1P2|MAGIX_-_49020328.23-P1P2++MAGIX_-_49020319.23-P1P2|MAGIX_-_49020328.23-P1P2	MAGIX	1160	939	1015	1086	1125	1464	1802	1623	1290	1271	1352	1774	3134	826	1082	1067
ZNF79_+_130186743.23-P1P2|ZNF79_-_130186722.23-P1P2++ZNF79_+_130186743.23-P1P2|ZNF79_-_130186722.23-P1P2	ZNF79	1415	1323	1403	1587	1289	1917	1643	2191	2749	2459	1998	2299	4129	1265	1310	1561
PSMD10_+_107334742.23-P1P2|PSMD10_-_107334590.23-P1P2++PSMD10_+_107334742.23-P1P2|PSMD10_-_107334590.23-P1P2	PSMD10	1197	1627	1689	1752	1959	1843	2069	2102	2157	2295	2851	2460	5318	1080	1037	1126
LPCAT3_+_7125801.23-P1P2|LPCAT3_-_7125782.23-P1P2++LPCAT3_+_7125801.23-P1P2|LPCAT3_-_7125782.23-P1P2	LPCAT3	905	813	959	1042	1330	1278	1493	1302	1335	1541	1567	1645	3415	1001	937	785
COIL_-_55038419.23-P1P2|COIL_-_55038369.23-P1P2++COIL_-_55038419.23-P1P2|COIL_-_55038369.23-P1P2	COIL	1268	1281	1729	1466	1757	1895	2103	1889	2209	1871	2348	2124	5114	1122	1149	1183
