	target	i02	i08	i14	i15	i06	i16	i11	i12	i07	i04	i05	i03	i13	i01	i10	i09
HDHD1_-_7065953.23-P1P2|HDHD1_-_7066179.23-P1P2++HDHD1_-_7065953.23-P1P2|HDHD1_-_7066179.23-P1P2	HDHD1	1955	1732	1156	1356	1859	1794	1696	1252	1825	1697	1655	2480	3477	1440	1147	1494
H2AFX_-_118965752.23-P1P2|H2AFX_+_118966156.23-P1P2++H2AFX_-_118965752.23-P1P2|H2AFX_+_118966156.23-P1P2	H2AFX	1203	274	452	369	359	417	74	84	365	664	620	711	208	984	987	904
SFRP2_-_154710161.23-P1P2|SFRP2_-_154710151.23-P1P2++SFRP2_-_154710161.23-P1P2|SFRP2_-_154710151.23-P1P2	SFRP2	1802	1936	2264	2149	2049	2292	2073	2195	2443	2539	2532	3134	6359	1277	1612	1603
FBXO39_+_6679602.23-P1P2|FBXO39_-_6679585.23-P1P2++FBXO39_+_6679602.23-P1P2|FBXO39_-_6679585.23-P1P2	FBXO39	1715	2662	1981	2116	2322	2274	2669	2911	3150	3308	2463	2972	5436	1241	1042	1802
NIPSNAP3A_-_107510021.23-P1P2|NIPSNAP3A_-_107510044.23-P1P2++NIPSNAP3A_-_107510021.23-P1P2|NIPSNAP3A_-_107510044.23-P1P2	NIPSNAP3A	1016	1021	727	719	1314	1558	1671	1138	1469	1465	1685	1848	2715	677	1090	721
P2RY2_-_72929358.23-P1P2|P2RY2_-_72929642.23-P1P2++P2RY2_-_72929358.23-P1P2|P2RY2_-_72929642.23-P1P2	P2RY2	891	975	620	1028	1344	1224	1454	1158	1251	1596	1734	1964	3258	642	823	746
SH3GLB1_+_87170541.23-P1P2|SH3GLB1_+_87170495.23-P1P2++SH3GLB1_+_87170541.23-P1P2|SH3GLB1_+_87170495.23-P1P2	SH3GLB1	2590	3204	2852	3417	3615	3554	3268	4606	4709	3985	4160	5875	7944	1948	2067	1889
IL16_+_81489132.23-ENST00000394660.2|IL16_-_81489092.23-ENST00000394660.2++IL16_+_81489132.23-ENST00000394660.2|IL16_-_81489092.23-ENST00000394660.2	IL16	852	1070	1072	1016	1065	1046	1174	1018	1684	1400	1454	1465	3059	892	939	953
MSRB3_-_65673009.23-P1P2|MSRB3_-_65672529.23-P1P2++MSRB3_-_65673009.23-P1P2|MSRB3_-_65672529.23-P1P2	MSRB3	2227	2759	2905	3291	2696	3856	1992	2246	3270	3478	4032	3326	4790	2025	1888	2082
DEFB124_-_30060833.23-P1P2|DEFB124_+_30060895.23-P1P2++DEFB124_-_30060833.23-P1P2|DEFB124_+_30060895.23-P1P2	DEFB124	504	879	859	636	883	682	791	848	1002	950	1123	960	1493	572	448	459
non-targeting_02265|non-targeting_02106++non-targeting_02265|non-targeting_02106	non-targeting	1265	1942	1289	1052	2234	1501	1890	1798	2064	2159	2287	2734	4222	988	1189	1068
SLC9B2_+_103997877.23-P1P2|SLC9B2_-_103997777.23-P1P2++SLC9B2_+_103997877.23-P1P2|SLC9B2_-_103997777.23-P1P2	SLC9B2	1541	263	978	899	264	1156	1192	900	354	420	370	196	2782	1368	1311	1626
MYO9B_-_17186739.23-P1P2|MYO9B_-_17186660.23-P1P2++MYO9B_-_17186739.23-P1P2|MYO9B_-_17186660.23-P1P2	MYO9B	1627	505	1440	1737	535	1457	1723	1519	624	564	665	448	2865	1362	1803	2189
ANKEF1_+_10015769.23-P1P2|ANKEF1_-_10015901.23-P1P2++ANKEF1_+_10015769.23-P1P2|ANKEF1_-_10015901.23-P1P2	ANKEF1	1759	2684	2260	2320	2960	2603	3507	4202	3272	3570	4009	4310	9755	1668	1856	1788
NXF1_+_62572883.23-P1|NXF1_-_62572847.23-P1++NXF1_+_62572883.23-P1|NXF1_-_62572847.23-P1	NXF1	50	6	1	9	0	5	3	0	0	0	0	0	0	0	19	33
GPNMB_-_23286430.23-P1|GPNMB_+_23286445.23-P1++GPNMB_-_23286430.23-P1|GPNMB_+_23286445.23-P1	GPNMB	667	1097	980	1031	1377	1323	1489	1219	1641	1578	1302	1783	2996	686	844	846
TINAGL1_-_32042149.23-P1P2|TINAGL1_+_32042180.23-P1P2++TINAGL1_-_32042149.23-P1P2|TINAGL1_+_32042180.23-P1P2	TINAGL1	2386	3007	2072	2703	2905	2750	2892	3019	3203	3855	3863	3885	5738	2139	2038	1955
KLK11_-_51529838.23-P1|KLK11_-_51529690.23-P1++KLK11_-_51529838.23-P1|KLK11_-_51529690.23-P1	KLK11	264	23	286	301	13	280	140	172	27	23	29	54	174	296	413	475
NPM2_-_21881725.23-P1P2|NPM2_+_21881707.23-P1P2++NPM2_-_21881725.23-P1P2|NPM2_+_21881707.23-P1P2	NPM2	2890	5159	3872	3701	5596	3898	4500	4895	4611	5676	6707	5525	10790	2533	3314	3335
JSRP1_+_2256371.23-P1P2|JSRP1_-_2256426.23-P1P2++JSRP1_+_2256371.23-P1P2|JSRP1_-_2256426.23-P1P2	JSRP1	1662	1607	1357	1869	2128	1896	1635	2374	2260	2190	2288	2399	4419	1503	1550	1602
ACTR1B_-_98280407.23-P1P2|ACTR1B_+_98280464.23-P1P2++ACTR1B_-_98280407.23-P1P2|ACTR1B_+_98280464.23-P1P2	ACTR1B	1713	2330	2449	2720	2729	3203	3222	2702	3051	3363	2937	3181	6517	1479	1575	1931
ADRA1B_+_159343520.23-P1P2|ADRA1B_-_159343504.23-P1P2++ADRA1B_+_159343520.23-P1P2|ADRA1B_-_159343504.23-P1P2	ADRA1B	1571	2960	2703	2425	2773	3091	2920	2875	3326	3903	3543	3428	7052	1434	1716	2280
SLC47A1_+_19437199.23-P1P2|SLC47A1_+_19437196.23-P1P2++SLC47A1_+_19437199.23-P1P2|SLC47A1_+_19437196.23-P1P2	SLC47A1	1346	1102	1476	1642	1696	1573	1798	1622	1262	1478	2347	1836	3624	994	1235	1253
SRP9_-_225965560.23-P1P2|SRP9_-_225965515.23-P1P2++SRP9_-_225965560.23-P1P2|SRP9_-_225965515.23-P1P2	SRP9	1858	55	353	402	98	413	46	158	20	118	59	24	259	1297	1324	1750
NFATC2IP_+_28962358.23-P1P2|NFATC2IP_-_28962372.23-P1P2++NFATC2IP_+_28962358.23-P1P2|NFATC2IP_-_28962372.23-P1P2	NFATC2IP	1549	1544	1534	1359	1947	1185	1478	2112	2219	1991	2316	1945	3987	891	1413	1112
TRMT44_+_8442671.23-P1P2|TRMT44_+_8442568.23-P1P2++TRMT44_+_8442671.23-P1P2|TRMT44_+_8442568.23-P1P2	TRMT44	497	59	315	550	121	541	231	251	89	11	68	108	399	584	1146	930
ZNF92_+_64838836.23-P1P2|ZNF92_+_64838789.23-P1P2++ZNF92_+_64838836.23-P1P2|ZNF92_+_64838789.23-P1P2	ZNF92	2068	2413	3076	2793	2778	2859	3026	3428	3107	2917	3101	4108	6951	1467	2092	1937
SP8_+_20826436.23-P1P2|SP8_+_20826522.23-P1P2++SP8_+_20826436.23-P1P2|SP8_+_20826522.23-P1P2	SP8	936	1028	738	1156	957	1049	1295	1297	1329	1406	1378	1682	3850	684	497	890
LPIN2_+_3013083.23-P1P2|LPIN2_+_3013075.23-P1P2++LPIN2_+_3013083.23-P1P2|LPIN2_+_3013075.23-P1P2	LPIN2	1023	1115	986	1362	1231	1184	1112	1280	1108	1015	1117	1207	3486	631	968	915
ZC3H14_+_89029423.23-P1P2|ZC3H14_+_89029414.23-P1P2++ZC3H14_+_89029423.23-P1P2|ZC3H14_+_89029414.23-P1P2	ZC3H14	1435	1246	1881	1873	1524	1785	2346	2015	1528	1840	1873	2174	4727	893	963	1445
SPATA25_-_44516230.23-P1P2|SPATA25_-_44516198.23-P1P2++SPATA25_-_44516230.23-P1P2|SPATA25_-_44516198.23-P1P2	SPATA25	1690	1759	2205	1764	2086	2573	2999	3012	2630	2465	3165	2806	5823	1326	1410	1107
TNRC6A_-_24741237.23-P1P2|TNRC6A_-_24741413.23-P1P2++TNRC6A_-_24741237.23-P1P2|TNRC6A_-_24741413.23-P1P2	TNRC6A	5192	2002	4135	4067	2122	3965	4036	4556	2340	2256	2820	1954	9746	4854	5348	5680
MROH6_-_144651050.23-P2|MROH6_+_144651041.23-P2++MROH6_-_144651050.23-P2|MROH6_+_144651041.23-P2	MROH6	1222	1404	1287	1030	1857	1213	1599	1660	2010	2300	2481	2125	3837	1220	864	829
IRF2BP1_+_46389398.23-P1P2|IRF2BP1_-_46389153.23-P1P2++IRF2BP1_+_46389398.23-P1P2|IRF2BP1_-_46389153.23-P1P2	IRF2BP1	1580	8	1004	1123	113	2	912	1347	1296	218	53	1602	2508	1019	1403	1272
N4BP2L1_-_33002221.23-P1P2|N4BP2L1_+_33002244.23-P1P2++N4BP2L1_-_33002221.23-P1P2|N4BP2L1_+_33002244.23-P1P2	N4BP2L1	838	894	985	1166	825	1389	1226	1644	1226	1229	1076	1246	3356	606	555	569
STX8_+_9479142.23-P1P2|STX8_-_9479112.23-P1P2++STX8_+_9479142.23-P1P2|STX8_-_9479112.23-P1P2	STX8	2081	2639	2645	3012	2454	3558	3871	3763	3506	3269	4250	3643	9722	1785	1677	1887
MAPKAPK5_-_112280047.23-P1P2|MAPKAPK5_-_112280058.23-P1P2++MAPKAPK5_-_112280047.23-P1P2|MAPKAPK5_-_112280058.23-P1P2	MAPKAPK5	1250	1769	1522	1312	1870	1968	2137	2036	1808	1987	2336	1967	4460	1061	1396	1262
LCNL1_+_139876146.23-P1P2|LCNL1_-_139876180.23-P1P2++LCNL1_+_139876146.23-P1P2|LCNL1_-_139876180.23-P1P2	LCNL1	290	266	283	289	373	381	370	595	376	461	489	376	823	190	136	185
MAPK8IP1_-_45921715.23-P1|MAPK8IP1_+_45921668.23-P1++MAPK8IP1_-_45921715.23-P1|MAPK8IP1_+_45921668.23-P1	MAPK8IP1	1510	1788	1806	2068	2162	2055	1882	2701	2922	2554	2354	2376	4808	1328	1472	1700
ZNF333_-_14800935.23-P1P2|ZNF333_+_14801131.23-P1P2++ZNF333_-_14800935.23-P1P2|ZNF333_+_14801131.23-P1P2	ZNF333	2437	620	1868	1985	959	1957	1822	1617	773	1231	1100	1227	3749	1791	2684	2627
AP3B2_-_83378565.23-P1P2|AP3B2_+_83378423.23-P1P2++AP3B2_-_83378565.23-P1P2|AP3B2_+_83378423.23-P1P2	AP3B2	1084	1653	1502	1612	1878	2040	2041	1478	2545	2647	3085	3034	3539	1337	911	1164
GIPC2_+_78511781.23-P1P2|GIPC2_-_78511798.23-P1P2++GIPC2_+_78511781.23-P1P2|GIPC2_-_78511798.23-P1P2	GIPC2	277	274	219	345	350	269	193	515	238	551	412	553	309	139	190	128
non-targeting_01631|non-targeting_01014++non-targeting_01631|non-targeting_01014	non-targeting	1617	967	1649	1316	697	1849	1464	1685	751	797	1052	867	2986	1146	1415	1674
COL26A1_-_101006153.23-P1P2|COL26A1_+_101006159.23-P1P2++COL26A1_-_101006153.23-P1P2|COL26A1_+_101006159.23-P1P2	COL26A1	1938	2305	1819	1749	2334	2326	2225	3177	2912	3101	2625	3353	5464	1612	1482	1734
B3GALT1_+_168725401.23-P1P2|B3GALT1_+_168725410.23-P1P2++B3GALT1_+_168725401.23-P1P2|B3GALT1_+_168725410.23-P1P2	B3GALT1	1165	1657	1527	1721	2187	2349	2533	2239	2455	2524	2741	3415	5179	1270	1201	1456
DDAH1_+_85930831.23-P1P2|DDAH1_-_85930827.23-P1P2++DDAH1_+_85930831.23-P1P2|DDAH1_-_85930827.23-P1P2	DDAH1	1088	1038	1051	1260	1142	1302	1135	943	1025	1175	1350	1786	2378	746	555	890
CDC42_+_22379552.23-P1P2|CDC42_+_22379247.23-P1P2++CDC42_+_22379552.23-P1P2|CDC42_+_22379247.23-P1P2	CDC42	1039	74	142	85	97	80	30	63	25	98	121	76	132	468	699	657
PKP3_+_394275.23-P1|PKP3_+_394287.23-P1++PKP3_+_394275.23-P1|PKP3_+_394287.23-P1	PKP3	1182	1284	2000	1748	1511	2068	2344	2266	2098	1254	2511	1907	5924	1112	935	1018
TUBB4A_-_6502305.23-P1P2|TUBB4A_+_6502330.23-P1P2++TUBB4A_-_6502305.23-P1P2|TUBB4A_+_6502330.23-P1P2	TUBB4A	1610	2166	1493	1494	2546	1867	2559	2106	2786	2930	2936	3028	4458	1565	1382	1860
TMEM150B_-_55836693.23-P1P2|TMEM150B_+_55836677.23-P1P2++TMEM150B_-_55836693.23-P1P2|TMEM150B_+_55836677.23-P1P2	TMEM150B	776	1061	1312	1010	1250	1258	1864	1825	1584	1338	1679	2078	4839	710	822	1090
SLC5A2_-_31499293.23-P2|SLC5A2_-_31499281.23-P2++SLC5A2_-_31499293.23-P2|SLC5A2_-_31499281.23-P2	SLC5A2	1929	2573	2476	2356	3278	2422	2856	3497	3269	3597	4007	3664	6069	1728	1706	1788
OR2D3_-_6942284.23-ENST00000317834.3|OR2D3_-_6942268.23-ENST00000317834.3++OR2D3_-_6942284.23-ENST00000317834.3|OR2D3_-_6942268.23-ENST00000317834.3	OR2D3	540	495	604	1312	1010	1033	1324	817	818	892	1398	1136	1766	423	360	617
ATG7_-_11314095.23-P1P2|ATG7_-_11314148.23-P1P2++ATG7_-_11314095.23-P1P2|ATG7_-_11314148.23-P1P2	ATG7	2056	918	1893	2264	1468	2328	1501	1841	1455	2295	2375	1611	4042	1297	1449	1746
POLR3F_+_18448087.23-P1P2|POLR3F_+_18448066.23-P1P2++POLR3F_+_18448087.23-P1P2|POLR3F_+_18448066.23-P1P2	POLR3F	1194	153	1095	1239	184	1209	509	574	132	152	107	118	1382	906	1933	1541
PNLIPRP1_+_118350531.23-P1P2|PNLIPRP1_-_118350493.23-P1P2++PNLIPRP1_+_118350531.23-P1P2|PNLIPRP1_-_118350493.23-P1P2	PNLIPRP1	937	1637	1348	1214	1338	1146	2069	1927	1735	2029	1984	1761	3977	932	720	1236
ESCO2_+_27632128.23-P1P2|ESCO2_-_27632134.23-P1P2++ESCO2_+_27632128.23-P1P2|ESCO2_-_27632134.23-P1P2	ESCO2	153	1	99	86	75	130	60	49	92	70	53	28	15	83	132	311
PIK3AP1_+_98460548.23-P2|PIK3AP1_+_98460599.23-P2++PIK3AP1_+_98460548.23-P2|PIK3AP1_+_98460599.23-P2	PIK3AP1	1359	1758	1430	1403	2081	1473	1544	1842	2287	2491	2282	2332	4499	1076	1052	1153
RBM7_+_114271574.23-P1P2|RBM7_-_114271351.23-P1P2++RBM7_+_114271574.23-P1P2|RBM7_-_114271351.23-P1P2	RBM7	922	572	1043	898	537	818	945	1162	561	483	685	837	2580	819	829	966
COL16A1_+_32169536.23-P1P2|COL16A1_-_32169583.23-P1P2++COL16A1_+_32169536.23-P1P2|COL16A1_-_32169583.23-P1P2	COL16A1	802	1169	895	895	1124	1194	1523	1020	1431	1406	1369	1660	2131	639	898	850
FURIN_-_91411855.23-P1|FURIN_+_91411839.23-P1++FURIN_-_91411855.23-P1|FURIN_+_91411839.23-P1	FURIN	617	844	480	728	627	860	772	919	1227	1309	1222	1168	1693	518	669	564
non-targeting_02766|non-targeting_01799++non-targeting_02766|non-targeting_01799	non-targeting	1485	1503	1475	1209	1829	1621	1250	1589	2110	2084	1994	1737	2830	874	730	889
SLC25A36_+_140660729.23-P1P2|SLC25A36_+_140660930.23-P1P2++SLC25A36_+_140660729.23-P1P2|SLC25A36_+_140660930.23-P1P2	SLC25A36	1093	365	1594	964	401	1189	1404	1791	475	294	411	383	2871	854	1294	1064
WTIP_+_34972681.23-P1P2|WTIP_-_34973042.23-P1P2++WTIP_+_34972681.23-P1P2|WTIP_-_34973042.23-P1P2	WTIP	3355	3859	3467	3916	3830	4357	3973	4798	4564	4845	5408	5363	9355	2684	3460	3447
non-targeting_00278|non-targeting_00279++non-targeting_00278|non-targeting_00279	non-targeting	1326	1521	1376	1320	1571	1656	2321	1943	1838	1879	2232	1888	5235	1006	1208	1254
NAA40_-_63706762.23-P1P2|NAA40_+_63706708.23-P1P2++NAA40_-_63706762.23-P1P2|NAA40_+_63706708.23-P1P2	NAA40	1157	373	1466	1996	348	1928	1407	1530	491	388	383	500	2799	1038	961	983
NKAP_-_119077682.23-P1P2|NKAP_+_119077637.23-P1P2++NKAP_-_119077682.23-P1P2|NKAP_+_119077637.23-P1P2	NKAP	432	22	91	79	131	91	29	10	65	82	31	72	2	479	428	571
MAPT_-_43972322.23-P1P2|MAPT_+_43972376.23-P1P2++MAPT_-_43972322.23-P1P2|MAPT_+_43972376.23-P1P2	MAPT	1236	823	1573	1653	1059	2011	1793	1911	1230	1647	1240	1032	4878	1064	1050	1325
SLC4A3_-_220492382.23-P1P2|SLC4A3_-_220492391.23-P1P2++SLC4A3_-_220492382.23-P1P2|SLC4A3_-_220492391.23-P1P2	SLC4A3	1705	2643	2397	2746	2526	3140	3022	2835	3010	3402	3229	3490	6750	1688	1355	2235
ZNF652_+_47439492.23-P1P2|ZNF652_+_47439406.23-P1P2++ZNF652_+_47439492.23-P1P2|ZNF652_+_47439406.23-P1P2	ZNF652	1536	2122	1496	1715	1993	1494	1631	2432	2090	2229	2599	2151	4256	1258	1303	1464
BTBD9_+_38607525.23-P1P2|BTBD9_+_38607692.23-P1P2++BTBD9_+_38607525.23-P1P2|BTBD9_+_38607692.23-P1P2	BTBD9	5809	8767	6157	6743	10292	6781	9291	9025	10673	11408	12177	13310	19941	4971	5154	6006
SHQ1_+_72897533.23-P1P2|SHQ1_+_72897517.23-P1P2++SHQ1_+_72897533.23-P1P2|SHQ1_+_72897517.23-P1P2	SHQ1	1455	308	1713	1638	590	1597	1279	1594	1099	1345	461	1474	3926	1127	861	1213
SCAMP4_-_1905405.23-P1P2|SCAMP4_-_1905438.23-P1P2++SCAMP4_-_1905405.23-P1P2|SCAMP4_-_1905438.23-P1P2	SCAMP4	872	11	124	159	48	138	62	3	92	20	29	91	30	869	912	1062
C14orf37_+_58618906.23-ENST00000267485.7|C14orf37_+_58618903.23-ENST00000267485.7++C14orf37_+_58618906.23-ENST00000267485.7|C14orf37_+_58618903.23-ENST00000267485.7	C14orf37	1679	1783	1511	1783	1778	1988	2534	2078	2120	2043	2765	2620	4080	1156	1580	1300
IL36RN_+_113816866.23-P1P2|IL36RN_-_113817006.23-P1P2++IL36RN_+_113816866.23-P1P2|IL36RN_-_113817006.23-P1P2	IL36RN	1516	1437	1898	1982	2021	1940	2158	2144	2408	2033	2354	2188	5576	1123	1691	1393
TRIM8_-_104404307.23-P1P2|TRIM8_-_104404265.23-P1P2++TRIM8_-_104404307.23-P1P2|TRIM8_-_104404265.23-P1P2	TRIM8	2211	2817	2156	2254	2976	2411	2742	2333	3544	3068	3634	3693	6210	1336	1900	1487
JPH1_+_75233780.23-P1P2|JPH1_+_75233788.23-P1P2++JPH1_+_75233780.23-P1P2|JPH1_+_75233788.23-P1P2	JPH1	434	614	740	644	735	654	733	734	711	931	1221	1196	1655	314	417	333
MRPL42_-_93861330.23-P1P2|MRPL42_+_93861322.23-P1P2++MRPL42_-_93861330.23-P1P2|MRPL42_+_93861322.23-P1P2	MRPL42	870	160	880	1021	196	1082	418	441	250	280	152	246	734	882	1144	1113
RAP2C_+_131353248.23-P1P2|RAP2C_+_131353204.23-P1P2++RAP2C_+_131353248.23-P1P2|RAP2C_+_131353204.23-P1P2	RAP2C	873	1168	944	846	1252	1178	1528	1366	1344	1881	1604	1861	3226	749	952	699
SETDB1_+_150898858.23-P1P2|SETDB1_-_150898815.23-P1P2++SETDB1_+_150898858.23-P1P2|SETDB1_-_150898815.23-P1P2	SETDB1	1568	1626	1360	1023	1328	1540	1536	1601	1610	1010	1701	1714	2936	1319	1646	1658
NPHP3_+_132441161.23-P1P2|NPHP3_+_132441136.23-P1P2++NPHP3_+_132441161.23-P1P2|NPHP3_+_132441136.23-P1P2	NPHP3	120	6	118	64	33	109	23	46	23	48	32	2	15	72	147	238
UQCRQ_-_132202364.23-P1P2|UQCRQ_+_132202565.23-P1P2++UQCRQ_-_132202364.23-P1P2|UQCRQ_+_132202565.23-P1P2	UQCRQ	1085	386	811	1027	257	1006	466	410	304	335	369	236	795	876	900	1034
non-targeting_02983|non-targeting_02666++non-targeting_02983|non-targeting_02666	non-targeting	874	557	746	549	929	650	890	1091	1101	1068	984	963	2832	461	495	608
HIST1H2AH_+_27115028.23-P1P2|HIST1H2AH_+_27115011.23-P1P2++HIST1H2AH_+_27115028.23-P1P2|HIST1H2AH_+_27115011.23-P1P2	HIST1H2AH	1088	1353	984	1377	1551	796	1394	1235	1856	1816	1476	1439	2768	852	731	897
non-targeting_02691|non-targeting_01195++non-targeting_02691|non-targeting_01195	non-targeting	581	548	521	729	1000	836	803	937	993	892	1205	1215	1359	665	303	445
KCNH2_+_150652851.23-P2|KCNH2_-_150652789.23-P2++KCNH2_+_150652851.23-P2|KCNH2_-_150652789.23-P2	KCNH2	1003	1320	1274	1200	1319	1284	1337	1570	1590	1541	1592	1716	3072	879	1038	1021
non-targeting_00265|non-targeting_00888++non-targeting_00265|non-targeting_00888	non-targeting	661	187	555	592	163	475	668	783	226	298	158	332	2237	695	822	630
ODF4_-_8243193.23-P1P2|ODF4_+_8243596.23-P1P2++ODF4_-_8243193.23-P1P2|ODF4_+_8243596.23-P1P2	ODF4	1176	1232	1104	1421	1860	1248	2105	1318	1717	1915	1727	1966	3979	801	860	1300
SDHAF2_+_61197543.23-P1P2|SDHAF2_+_61197835.23-P1P2++SDHAF2_+_61197543.23-P1P2|SDHAF2_+_61197835.23-P1P2	SDHAF2	1526	1565	1932	1536	1832	1603	1889	2209	2138	2263	2509	2575	4340	1459	1598	1600
ZNF493_+_21579959.23-P1P2|ZNF493_+_21579986.23-P1P2++ZNF493_+_21579959.23-P1P2|ZNF493_+_21579986.23-P1P2	ZNF493	2007	2324	2047	2340	3571	2518	3771	3117	3287	3402	3631	4267	6840	1481	1806	1727
WFDC11_+_44298698.23-ENST00000324384.3,ENST00000356562.2|WFDC11_-_44298489.23-ENST00000324384.3,ENST00000356562.2++WFDC11_+_44298698.23-ENST00000324384.3,ENST00000356562.2|WFDC11_-_44298489.23-ENST00000324384.3,ENST00000356562.2	WFDC11	370	531	459	530	630	1002	1184	735	843	1012	890	1273	2338	340	473	666
CER1_-_14722720.23-P1P2|CER1_-_14722679.23-P1P2++CER1_-_14722720.23-P1P2|CER1_-_14722679.23-P1P2	CER1	1231	1228	1150	1490	1653	1872	1932	1905	2211	1784	1940	1893	4053	1327	1132	1077
RDH13_+_55580854.23-P2|RDH13_-_55580828.23-P2++RDH13_+_55580854.23-P2|RDH13_-_55580828.23-P2	RDH13	1344	1541	1327	1601	1747	1542	2128	2187	2065	1832	2282	2381	4830	1264	1087	1510
TTR_-_29172954.23-P2|TTR_-_29172972.23-P2++TTR_-_29172954.23-P2|TTR_-_29172972.23-P2	TTR	1256	1331	1327	1184	1647	1721	1735	1714	2156	2227	1922	2600	4035	1093	1136	1474
SLC35F5_-_114514156.23-P1P2|SLC35F5_+_114514147.23-P1P2++SLC35F5_-_114514156.23-P1P2|SLC35F5_+_114514147.23-P1P2	SLC35F5	948	1032	753	841	1395	1016	1251	1305	1393	1695	2041	1784	1861	720	755	1117
EML4_-_42396601.23-P1P2|EML4_-_42396563.23-P1P2++EML4_-_42396601.23-P1P2|EML4_-_42396563.23-P1P2	EML4	822	1008	1112	1138	933	796	1115	808	1150	1090	1210	1297	1793	710	594	698
RCOR2_-_63684048.23-P1P2|RCOR2_+_63684612.23-P1P2++RCOR2_-_63684048.23-P1P2|RCOR2_+_63684612.23-P1P2	RCOR2	918	1325	884	977	1511	994	1333	998	1470	1699	1830	1838	2654	1105	840	989
non-targeting_03345|non-targeting_02920++non-targeting_03345|non-targeting_02920	non-targeting	1146	1624	1228	1648	1615	1477	2192	2530	2135	2338	2195	3111	3251	1135	1239	1219
WWC2_-_184020423.23-P1P2|WWC2_+_184020619.23-P1P2++WWC2_-_184020423.23-P1P2|WWC2_+_184020619.23-P1P2	WWC2	4197	5432	5590	5702	6261	5796	7419	7253	6957	7775	7984	7637	18573	3839	4220	4819
OXNAD1_-_16306773.23-P1|OXNAD1_-_16306746.23-P1++OXNAD1_-_16306773.23-P1|OXNAD1_-_16306746.23-P1	OXNAD1	1124	1316	1423	1508	1649	1420	1904	1670	2126	1917	2459	1872	4507	1112	759	1092
CLLU1_-_92817960.23-ENST00000378485.1|CLLU1_+_92817828.23-ENST00000378485.1++CLLU1_-_92817960.23-ENST00000378485.1|CLLU1_+_92817828.23-ENST00000378485.1	CLLU1	844	548	341	414	970	872	897	919	895	911	929	1046	2119	628	532	599
SAMD10_-_62610822.23-P1P2|SAMD10_+_62610660.23-P1P2++SAMD10_-_62610822.23-P1P2|SAMD10_+_62610660.23-P1P2	SAMD10	1837	2733	2976	2405	2541	2445	2967	2753	3319	3232	3712	3223	6514	1710	1811	1806
LY6G6D_-_31683122.23-P1P2|LY6G6D_-_31683192.23-P1P2++LY6G6D_-_31683122.23-P1P2|LY6G6D_-_31683192.23-P1P2	LY6G6D	1803	1913	1619	1987	2608	2032	2112	2353	2796	3040	2779	2928	4827	1410	1275	1462
GCNT6_-_10633998.23-ENST00000417671.1|GCNT6_+_10634219.23-ENST00000417671.1++GCNT6_-_10633998.23-ENST00000417671.1|GCNT6_+_10634219.23-ENST00000417671.1	GCNT6	583	758	375	644	844	1115	1463	1192	1443	1294	1204	1507	3109	626	718	617
DNAH11_-_21582703.23-P1P2|DNAH11_-_21582730.23-P1P2++DNAH11_-_21582703.23-P1P2|DNAH11_-_21582730.23-P1P2	DNAH11	1241	1409	1112	1275	1910	1298	1373	1388	1691	1909	2253	2390	4093	994	1010	1707
PRR23A_+_138725268.23-P1P2|PRR23A_-_138725236.23-P1P2++PRR23A_+_138725268.23-P1P2|PRR23A_-_138725236.23-P1P2	PRR23A	2348	2704	2024	2018	2970	2380	2130	3265	3270	3802	3884	4248	5581	1515	1739	1848
CRADD_-_94071197.23-P1P2|CRADD_+_94071184.23-P1P2++CRADD_-_94071197.23-P1P2|CRADD_+_94071184.23-P1P2	CRADD	701	956	934	1405	1140	1580	1223	1158	1558	1544	1518	1351	3408	696	731	798
SYBU_+_110660970.23-P2|SYBU_-_110661029.23-P2++SYBU_+_110660970.23-P2|SYBU_-_110661029.23-P2	SYBU	798	792	869	1010	1014	991	1244	1438	1383	1516	1693	1546	2847	743	509	687
TFAP2E_+_36038973.23-P1P2|TFAP2E_-_36038921.23-P1P2++TFAP2E_+_36038973.23-P1P2|TFAP2E_-_36038921.23-P1P2	TFAP2E	1681	2354	2218	2063	2136	1969	2669	2541	2789	2795	3104	3289	6330	1510	1648	1409
DNAJC24_-_31391435.23-P1P2|DNAJC24_-_31391413.23-P1P2++DNAJC24_-_31391435.23-P1P2|DNAJC24_-_31391413.23-P1P2	DNAJC24	1364	480	979	993	629	1237	630	682	669	675	705	664	1552	1142	1345	1487
SYCP2L_+_10887236.23-ENST00000283141.6|SYCP2L_+_10887099.23-ENST00000283141.6++SYCP2L_+_10887236.23-ENST00000283141.6|SYCP2L_+_10887099.23-ENST00000283141.6	SYCP2L	1485	1584	1515	1808	1899	2082	2392	2479	1993	2089	2680	2472	5633	1640	1281	1530
RTTN_+_67872884.23-P1P2|RTTN_+_67872899.23-P1P2++RTTN_+_67872884.23-P1P2|RTTN_+_67872899.23-P1P2	RTTN	1476	1106	1429	1793	1471	1787	1964	1603	1582	1235	2106	1721	3192	1203	1330	1726
LECT2_+_135290565.23-P1P2|LECT2_+_135290608.23-P1P2++LECT2_+_135290565.23-P1P2|LECT2_+_135290608.23-P1P2	LECT2	401	355	283	538	542	584	753	658	782	785	748	1042	2446	315	247	358
