,target,rho_score,rho_pvalue,rho_label,-log10(rho_pvalue),gamma_score,gamma_pvalue,gamma_label,-log10(gamma_pvalue)
FAM83D,FAM83D,0.2157104342502333,0.03651446609223765,resistance_hit,1.4375350451496085,-0.10435479700040211,0.5783909194107983,target_non_hit,0.23777853397206586
FANCA,FANCA,-0.13625144925571023,0.0025690094564494626,sensitivity_hit,2.590234297105292,-0.08457412358701817,0.49545034305792984,target_non_hit,0.3049998665401902
FAT2,FAT2,0.1566409984902378,0.005046708694557846,resistance_hit,2.2969917628306633,-0.29630133103162165,0.03018654268420655,essential_hit,1.5201866246103002
FAXC,FAXC,-0.17411980223458853,0.0335895009530957,sensitivity_hit,1.4737964485229313,0.06800776629692606,0.38624192155328674,target_non_hit,0.41314059096262973
FBXL5,FBXL5,0.30531303599227905,0.03582664866279191,resistance_hit,1.4457938152033798,-0.27585428228684944,0.004590332089305883,essential_hit,2.3381558941281138
FBXO25,FBXO25,-0.2915616548761009,0.12154280300383381,sensitivity_hit,0.9152707522320731,0.005034144541814574,0.8216185344883189,target_non_hit,0.08532977226471007
FCAMR,FCAMR,-0.21623575329225217,0.065969760744631,sensitivity_hit,1.1806550909911697,0.06127566153072787,0.11803683337388918,target_non_hit,0.9279824500251213
FDCSP,FDCSP,0.19790965979030903,0.0441758706742429,resistance_hit,1.3548148821088526,-0.3054775991680187,0.06723015812433644,essential_hit,1.1724358672898842
FGF14,FGF14,-0.18948666694359328,0.03635685887552589,sensitivity_hit,1.4394136455808355,0.027672500549208518,0.5017321663423226,target_non_hit,0.2995280552067263
FGL1,FGL1,0.17767125904425432,0.021949821854515418,resistance_hit,1.6585690001560234,-0.10660252882329206,0.5249402649492029,target_non_hit,0.2798901138872577
FKBP10,FKBP10,0.2551416527217801,0.05063997278047136,resistance_hit,1.2955065364285818,-0.2807399428281763,0.18769124581827995,target_non_hit,0.7265559830071886
FKBP11,FKBP11,0.2688151933439403,0.11016268548807195,resistance_hit,0.9579654856193688,0.0013370337918763298,0.9592942965495478,target_non_hit,0.018048137604896226
FKBPL,FKBPL,-0.24462494061147075,0.025333204854778933,sensitivity_hit,1.5963098649784253,0.15150236189054725,0.08045371340371064,target_non_hit,1.0944539059027754
FNTA,FNTA,-0.20538105669512272,0.045078789631923265,sensitivity_hit,1.346027753301035,0.12269460956524962,0.0694143238315463,target_non_hit,1.1585509024684768
FOXB2,FOXB2,-0.24398219573096083,0.08990719588764588,sensitivity_hit,1.0462055473187097,-0.047362944791037975,0.18599765386630057,target_non_hit,0.7304925338430817
FOXD3,FOXD3,-0.3538499708877814,0.16316965961201865,sensitivity_hit,0.7873605924452866,0.07675077145171667,0.1467583587646388,target_non_hit,0.833397153712536
FOXI3,FOXI3,-0.1802264424020438,0.005386801553945073,sensitivity_hit,2.268669023268612,0.20442277276276588,0.02181488354266432,up_hit,1.6612471011237924
FOXP3,FOXP3,-0.3340235646858141,0.018721748335197314,sensitivity_hit,1.7276535970042035,0.14623398501322113,0.11320691375467792,target_non_hit,0.946127049174102
FRG1,FRG1,-0.24704032848334645,0.024290225497348807,sensitivity_hit,1.6145684534204894,0.11014203917713061,0.19835535346093264,target_non_hit,0.702556073752134
FRMD1,FRMD1,0.2780619959085229,0.04401288271352461,resistance_hit,1.3564201855025775,-0.20833790286931433,0.16951786305446015,target_non_hit,0.7707845309875972
FRMD6,FRMD6,-0.23341335269959096,0.035983289069465324,sensitivity_hit,1.443899142284673,0.1093452453600694,0.33372233436073573,target_non_hit,0.47661472722281784
